
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.901255E+00 -1.441276E-11 -7.206241E-11
        66  1.901255E+00  1.441279E-11 -7.206391E-11
        67  1.901255E+00  1.441263E-11  7.206423E-11
        68  1.901255E+00 -1.441268E-11  7.206204E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.561117E-04  9.122234E-05
        66  1.000000E-02 -4.561117E-04  9.122234E-05
        67  1.000000E-02 -4.561117E-04 -9.122234E-05
        68  1.000000E-02  4.561117E-04 -9.122234E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         7   5  5.067397E-04 -1.824127E-04 -1.824311E-04  8.302785E-09  2.052859E-10  1.270318E-20
         7   6  5.067397E-04 -1.824210E-04 -1.824300E-04  8.302785E-09  2.052859E-10 -5.271818E-20
         7   7  5.067397E-04 -1.824127E-04 -1.824311E-04 -8.302785E-09  2.052859E-10 -8.468705E-22
         7   8  5.067397E-04 -1.824210E-04 -1.824300E-04 -8.302785E-09  2.052859E-10 -9.802617E-20
         8   1  5.067437E-04 -1.824247E-04 -1.824294E-04  1.801869E-09 -1.630676E-10 -3.281653E-20
         8   2  5.067437E-04 -1.824265E-04 -1.824286E-04  1.801869E-09 -1.630676E-10  4.488456E-20
         8   3  5.067437E-04 -1.824247E-04 -1.824294E-04 -1.801869E-09 -1.630676E-10 -7.346670E-20
         8   4  5.067437E-04 -1.824265E-04 -1.824286E-04 -1.801869E-09 -1.630676E-10 -2.355380E-20
         8   5  5.067437E-04 -1.824247E-04 -1.824294E-04  1.801869E-09  1.630676E-10 -3.218138E-20
         8   6  5.067437E-04 -1.824265E-04 -1.824286E-04  1.801869E-09  1.630676E-10 -2.752353E-21
         8   7  5.067437E-04 -1.824247E-04 -1.824294E-04 -1.801869E-09  1.630676E-10 -5.250646E-20
