
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.332644E-01 -3.822300E-08 -1.911147E-07
        66  1.332644E-01  3.822300E-08 -1.911148E-07
        67  1.332644E-01  3.822300E-08  1.911148E-07
        68  1.332644E-01 -3.822300E-08  1.911147E-07

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-01  6.583864E-03  1.316775E-03
        66  1.000000E-01 -6.583864E-03  1.316775E-03
        67  1.000000E-01 -6.583864E-03 -1.316775E-03
        68  1.000000E-01  6.583864E-03 -1.316775E-03

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         9   8  5.405999E-03 -2.627925E-03 -2.628864E-03 -1.287126E-06 -1.456574E-07  2.446081E-17
        10   1  5.408439E-03 -2.628599E-03 -2.629245E-03  5.552075E-07  6.282882E-08 -6.730302E-18
        10   2  5.408439E-03 -2.629155E-03 -2.629560E-03  5.552072E-07  6.282880E-08 -2.766321E-17
        10   3  5.408439E-03 -2.628599E-03 -2.629245E-03 -5.552075E-07  6.282882E-08  3.144806E-17
        10   4  5.408439E-03 -2.629155E-03 -2.629560E-03 -5.552072E-07  6.282880E-08  6.426234E-17
        10   5  5.408439E-03 -2.628599E-03 -2.629245E-03  5.552075E-07 -6.282882E-08 -6.098389E-18
        10   6  5.408439E-03 -2.629155E-03 -2.629560E-03  5.552072E-07 -6.282880E-08 -3.164899E-17
        10   7  5.408439E-03 -2.628599E-03 -2.629245E-03 -5.552075E-07 -6.282882E-08  3.261389E-17
        10   8  5.408439E-03 -2.629155E-03 -2.629560E-03 -5.552072E-07 -6.282880E-08  5.937684E-17
        11   1  5.409491E-03 -2.629445E-03 -2.629724E-03  2.394748E-07  2.709951E-08 -1.591412E-17
        11   2  5.409491E-03 -2.629685E-03 -2.629860E-03  2.394747E-07  2.709951E-08  3.539398E-17
        11   3  5.409491E-03 -2.629445E-03 -2.629724E-03 -2.394748E-07  2.709951E-08  5.813453E-17
        11   4  5.409491E-03 -2.629685E-03 -2.629860E-03 -2.394747E-07  2.709951E-08  1.146326E-17
        11   5  5.409491E-03 -2.629445E-03 -2.629724E-03  2.394748E-07 -2.709951E-08 -2.297329E-17
        11   6  5.409491E-03 -2.629685E-03 -2.629860E-03  2.394747E-07 -2.709951E-08  2.756097E-17
        11   7  5.409491E-03 -2.629445E-03 -2.629724E-03 -2.394748E-07 -2.709951E-08  5.195058E-17
        11   8  5.409491E-03 -2.629685E-03 -2.629860E-03 -2.394747E-07 -2.709951E-08  3.183351E-18
