material_id,polymer,form,case_id,bulk_density_kg_m3,aspect_ratio,wall_friction,inter_particle_friction,throat_fill,agitator_rpm,auger_rpm,screen_discharge_variability,bridge_index,bridge_clear_cycles,mass_per_rev_g,unobstructed_feed_g_h,effective_feed_g_h,estimated_torque_nm,estimated_current_a
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_26,150,9.0,0.29,0.51,0.64,20.0,4.0,0.05,0.268,1,0.1716109959854012,41.18663903649629,39.19979556937571,1.198,2.44096
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_27,260,9.0,0.29,0.51,0.64,20.0,20.0,0.05,0.268,1,0.2974590597080287,356.95087164963445,339.7315616012561,1.39,2.7328
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_28,150,4.5,0.43,0.51,0.48,20.0,4.0,0.4,0.4540000000000002,2,0.13304672722463687,31.931214533912847,29.32179568220149,1.328,2.63856
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_29,260,4.5,0.43,0.51,0.48,20.0,20.0,0.4,0.4540000000000002,2,0.23061432718937058,276.7371926272447,254.12222924574627,1.52,2.9304
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_30,150,9.0,0.43,0.51,0.64,20.0,4.0,0.4,0.504,2,0.1369031541007133,32.85675698417119,29.87599199056718,1.728,3.24656
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_31,260,9.0,0.43,0.51,0.64,20.0,20.0,0.4,0.504,2,0.23729880044123636,284.75856052948365,258.9252639182489,1.92,3.5384
PLA_THIN_WALL,PLA,thin walls,center,180,4.5,0.38,0.48,0.54,14.0,12.0,0.2,0.3423025210084034,2,0.1996605062233776,143.75556448083188,134.8981438972924,1.1138543417366944,2.3130585994397754
PLA_THIN_WALL,PLA,thin walls,oat_bulk_density_kg_m3_low,130,4.5,0.38,0.48,0.54,14.0,12.0,0.2,0.3423025210084034,2,0.14419925449466162,103.82346323615636,97.42643725915562,1.1138543417366944,2.3130585994397754
PLA_THIN_WALL,PLA,thin walls,oat_bulk_density_kg_m3_high,240,4.5,0.38,0.48,0.54,14.0,12.0,0.2,0.3423025210084034,2,0.26621400829783687,191.67408597444253,179.86419186305656,1.1138543417366944,2.3130585994397754
PLA_THIN_WALL,PLA,thin walls,oat_aspect_ratio_low,180,3.0,0.38,0.48,0.54,14.0,12.0,0.2,0.2608739495798319,1,0.207593727225592,149.46748360242623,142.44889250182396,1.01956862745098,2.1697443137254897
PLA_THIN_WALL,PLA,thin walls,oat_aspect_ratio_high,180,6.5,0.38,0.48,0.54,14.0,12.0,0.2,0.45087394957983196,2,0.18908287822042513,136.1396723187061,125.09094260319505,1.2395686274509803,2.50414431372549
PLA_THIN_WALL,PLA,thin walls,oat_wall_friction_low,180,4.5,0.31,0.48,0.54,14.0,12.0,0.2,0.25830252100840334,1,0.21909689767880278,157.749766328738,150.41527710912206,0.8665210084033612,1.9371119327731092
PLA_THIN_WALL,PLA,thin walls,oat_wall_friction_high,180,4.5,0.46,0.48,0.54,14.0,12.0,0.2,0.4383025210084034,2,0.17744748741717736,127.7621909403677,117.68246267219807,1.3965210084033615,2.7427119327731098
PLA_THIN_WALL,PLA,thin walls,oat_inter_particle_friction_low,180,4.5,0.38,0.39,0.54,14.0,12.0,0.2,0.24171428571428574,1,0.21558528073517555,155.2214021293264,148.4679406675396,0.8756190476190476,1.9509409523809524
PLA_THIN_WALL,PLA,thin walls,oat_inter_particle_friction_high,180,4.5,0.38,0.56,0.54,14.0,12.0,0.2,0.43171428571428583,2,0.18550515110177943,133.5637087932812,123.18466378825359,1.325619047619048,2.634940952380953
PLA_THIN_WALL,PLA,thin walls,oat_agitator_rpm_low,180,4.5,0.38,0.48,0.54,8.0,12.0,0.2,0.43658823529411767,2,0.1996605062233776,143.75556448083188,132.45840660296057,1.1138543417366944,2.3130585994397754
PLA_THIN_WALL,PLA,thin walls,oat_agitator_rpm_high,180,4.5,0.38,0.48,0.54,20.0,12.0,0.2,0.24801680672268908,1,0.1996605062233776,143.75556448083188,137.33788119162423,1.1138543417366944,2.3130585994397754
PLA_THIN_WALL,PLA,thin walls,oat_auger_rpm_low,180,4.5,0.38,0.48,0.54,14.0,4.0,0.2,0.3423025210084034,2,0.1996605062233776,47.918521493610626,44.96604796576413,1.0178543417366945,2.1671385994397756
PLA_THIN_WALL,PLA,thin walls,oat_auger_rpm_high,180,4.5,0.38,0.48,0.54,14.0,20.0,0.2,0.3423025210084034,2,0.1996605062233776,239.59260746805313,224.83023982882068,1.2098543417366945,2.4589785994397757
PLA_THIN_WALL,PLA,thin walls,oat_throat_fill_low,180,4.5,0.38,0.48,0.45,14.0,12.0,0.2,0.4123025210084035,2,0.18809122559514832,135.4256824285068,125.37513937908659,1.0238543417366945,2.176258599439776
PLA_THIN_WALL,PLA,thin walls,oat_throat_fill_high,180,4.5,0.38,0.48,0.63,14.0,12.0,0.2,0.27230252100840335,1,0.2112297868516069,152.08544653315695,144.63106144321682,1.2038543417366947,2.449858599439776
PLA_THIN_WALL,PLA,thin walls,oat_screen_discharge_variability_low,180,4.5,0.38,0.48,0.54,14.0,12.0,0.05,0.3183025210084034,2,0.1996605062233776,143.75556448083188,135.5191679358496,1.1138543417366944,2.3130585994397754
PLA_THIN_WALL,PLA,thin walls,oat_screen_discharge_variability_high,180,4.5,0.38,0.48,0.54,14.0,12.0,0.4,0.37430252100840344,2,0.1996605062233776,143.75556448083188,134.07011184588282,1.1138543417366944,2.3130585994397754
PLA_THIN_WALL,PLA,thin walls,corner_00,130,3.0,0.31,0.39,0.45,8.0,4.0,0.05,0.2165714285714286,1,0.16711183129664534,40.10683951119488,38.54336031607847,0.348,1.14896
PLA_THIN_WALL,PLA,thin walls,corner_01,240,3.0,0.31,0.39,0.45,8.0,20.0,0.05,0.2165714285714286,1,0.3085141500861145,370.2169801033374,355.784864456109,0.54,1.4408
PLA_THIN_WALL,PLA,thin walls,corner_02,130,6.5,0.31,0.39,0.63,8.0,4.0,0.05,0.2665714285714286,1,0.17045406792257822,40.908976301418775,38.94604673568727,0.748,1.7569599999999999
PLA_THIN_WALL,PLA,thin walls,corner_03,240,6.5,0.31,0.39,0.63,8.0,20.0,0.05,0.2665714285714286,1,0.3146844330878368,377.6213197054041,359.50196986788256,0.94,2.0488
PLA_THIN_WALL,PLA,thin walls,corner_04,130,3.0,0.46,0.39,0.45,8.0,4.0,0.4,0.4525714285714286,2,0.13703170166324918,32.887608399179804,30.20848985438719,0.8780000000000001,1.9545600000000003
PLA_THIN_WALL,PLA,thin walls,corner_05,240,3.0,0.46,0.39,0.45,8.0,20.0,0.4,0.4525714285714286,2,0.2529816030706139,303.5779236847367,278.84759865588177,1.07,2.2464
PLA_THIN_WALL,PLA,thin walls,corner_06,130,6.5,0.46,0.39,0.63,8.0,4.0,0.4,0.5025714285714286,2,0.14037393828918207,33.689745189403695,30.64207458315541,1.278,2.56256
