t_s,M1_A,M2_A,heater100a,heater100b,heater100c,heater60,admitted_W
179,6.306826307430073,1.8,0,1,1,0,442.4038313783218
180,0,1.8,1,1,1,1,451.04
181,0,1.8,1,1,1,1,451.04
182,0,1.8,1,1,1,1,451.04
183,0,1.8,1,1,1,1,451.04
184,0,1.8,1,1,1,1,451.04
185,0,1.8,1,1,1,1,451.04
186,0,1.8,1,1,1,1,451.04
187,0,1.8,1,1,1,1,451.04
188,0,1.8,1,1,1,1,451.04
189,0,1.8,1,1,1,1,451.04
190,0,1.8,1,1,1,1,451.04
191,0,1.8,1,1,1,1,451.04
192,0,1.8,1,1,1,1,451.04
193,0,1.8,1,1,1,1,451.04
194,0,1.8,1,1,1,1,451.04
195,0,1.8,1,1,1,1,451.04
196,0,1.8,1,1,1,1,451.04
197,0,1.8,1,1,1,1,451.04
198,0,1.8,1,1,1,1,451.04
199,0,1.8,1,1,1,1,451.04
200,0,1.8,1,1,1,1,451.04
201,0,1.8,1,1,1,1,451.04
202,0,1.8,1,1,1,1,451.04
203,0,1.8,1,1,1,1,451.04
204,0,1.8,1,1,1,1,451.04
205,0,1.8,1,1,1,1,451.04
206,0,1.8,1,1,1,1,451.04
207,0,1.8,1,1,1,1,451.04
208,0,1.8,1,1,1,1,451.04
209,0,1.8,1,1,1,1,451.04
210,0,1.8,1,1,1,1,451.04
211,0,1.8,1,1,1,1,451.04
212,0,1.8,1,1,1,1,451.04
213,0,1.8,1,1,1,1,451.04
214,0,1.8,1,1,1,1,451.04
215,0,1.8,1,1,1,1,451.04
216,0,1.8,1,1,1,1,451.04
217,0,1.8,1,1,1,1,451.04
218,0,1.8,1,1,1,1,451.04
219,0,1.8,1,1,1,1,451.04
220,0,1.8,1,1,1,1,451.04
221,0,1.8,1,1,1,1,451.04
222,0,1.8,1,1,1,1,451.04
223,0,1.8,1,1,1,1,451.04
224,0,1.8,1,1,1,1,451.04
225,0,1.8,1,1,1,1,451.04
226,0,1.8,1,1,1,1,451.04
227,0,1.8,1,1,1,1,451.04
228,0,1.8,1,1,1,1,451.04
229,0,1.8,1,1,1,1,451.04
230,0,1.8,1,1,1,1,451.04
231,0,1.8,1,1,1,1,451.04
232,0,1.8,1,1,1,1,451.04
233,0,1.8,1,1,1,1,451.04
234,0,1.8,1,1,1,1,451.04
235,0,1.8,1,1,1,1,451.04
236,0,1.8,1,1,1,1,451.04
237,0,1.8,1,1,1,1,451.04
238,0,1.8,1,1,1,1,451.04
239,0,1.8,1,1,1,1,451.04
